MicrosoftSurfacePartnerReportingUS Summary,,,,
Product Code,Vendor Item No,Product Name,Stock on Hand,Qty On Order
EP255920,EP2-55920,Pro13 CU7/16/512 Blk DEMO,0,0
EP268713,EP2-68713,Lpt 13 CU5/16/256 Platinum,0,810
EP268764,EP2-68764,Lpt 13 CU5/16/256 Plat DEMO,0,0
EP268820,EP2-68820,Lpt 13 CU5/16/512 Platinum,0,876
EP268871,EP2-68871,Lpt 13 CU5/16/512 Plat DEMO,0,9
EP269179,EP2-69179,Lpt 13 CU5/24/1TB Platinum,0,582
EP269230,EP2-69230,Lpt 13 CU5/24/1TB Plat DEMO,0,0
EP272561,EP2-72561,Lpt 13 CU5/24/512 Platinum,0,"1,050"
EP272609,EP2-72609,Lpt 13 CU5/24/512 Plat DEMO,0,9
IMK00001,IMK-00001,Pro11 Pls 16 256 Plat DEMO,0,0
IXW00019,IXW-00019,Pro11 Pls 16 512 Black DEMO,0,0
M0W00001,M0W-00001,Pro11 5G Eli/16/512 Plat DEMO,0,1
QIA00001,QIA-00001,SfcPro9 i5/16/256 Platinum,0,0
QIM00001,QIM-00001,SfcPro9 i7/16/256 Platinum,0,0
R1A00001,R1A-00001,"SrfcLpt5 13"" i5 8G 256G Plat",0,0
R7B00024,R7B-00024,SfcLpt5 13 i5/16/256 Black,0,0
RBH00051,RBH-00051,SfcLpt5 13 i7/16/512 Sage,0,0
RBQ00026,RBQ-00026,"SrfcLpt5 13"" i7 16G 512G DEMO",0,0
T0J00001,T0J-00001,Lpt7 13 Pls 16 256 Plat DEMO,0,0
T0N00001,T0N-00001,Lpt7 13 Eli 16 512 Plat DEMO,0,0
T0P00001,T0P-00001,Lpt7 13 Eli 16 1TB Plat DEMO,0,0
T0S00001,T0S-00001,Lpt7 15 Eli 16 256 Plat DEMO,0,0
T0U00004,T0U-00004,Lpt7 15 Eli 16 512 Graph DEMO,0,0
T0V00001,T0V-00001,Lpt7 15 Eli 16 1TB Plat DEMO,0,1
T0W00001,T0W-00001,Lpt7 15 Eli 32 1TB Graph DEMO,0,0
VXY00001,VXY-00001,Surface Hub 3 50in DEMO,0,0
VYA00001,VYA-00001,Surface Hub 3 85in DEMO,0,0
W1C00001,W1C-00001,Pro11 Eli 32 1TB Plat DEMO,0,0
